Experiment,Model,beta,gamma,sigma,xi,NRMSE_S,NRMSE_E,NRMSE_I,NRMSE_R,Pearson_S,Pearson_E,Pearson_I,Pearson_R,,,,
small_simple,SIRS,0.2,0.7,0,0.5,0.006693546,7.695116778,0.002690752,0.004415066,0.894201832,nan,0.960270808,0.826719681,,,,
small_simple,SIRS,0.2,0.7,0,0.6,0.007096049,7.695116778,0.003365982,0.004087631,0.866795951,nan,0.93522958,0.881539436,,,,
small_simple,SIRS,0.2,0.7,0,0.7,0.004663384,7.695116778,0.00169801,0.002995284,0.946259816,nan,0.985080426,0.935709238,,,,
small_simple,SIRS,0.2,0.7,0,0.8,0.006127202,7.695116778,0.002690099,0.003514014,0.885409935,nan,0.959967843,0.820446063,,,,
small_simple,SIRS,0.2,0.7,0,0.9,0.00642627,7.695116778,0.003345317,0.003144582,0.862008838,nan,0.935199057,0.887181415,,,,
small_simple,SIRS,0.2,0.7,0,1,0.006075007,7.695116778,0.002312328,0.003827207,0.874562583,nan,0.972007745,nan,,,,
small_simple,SIRS,0.2,0.8,0,0.1,0.005922013,7.695116778,0.003441093,0.005516748,0.985778676,nan,0.923651956,0.965690453,,,,
small_simple,SIRS,0.2,0.8,0,0.2,0.003848212,7.695116778,0.00390448,0.003494204,0.988636727,nan,0.898615035,0.958026221,,,,
small_simple,SIRS,0.2,0.8,0,0.3,0.005657998,7.695116778,0.003072807,0.004426248,0.949263966,nan,0.940584583,0.895429707,,,,
small_simple,SIRS,0.2,0.8,0,0.4,0.005516785,7.695116778,0.002760512,0.00365304,0.942953497,nan,0.952978469,0.92179775,,,,
small_simple,SIRS,0.2,0.8,0,0.5,0.006124435,7.695116778,0.003200945,0.003595359,0.909926526,nan,0.934625478,0.902588593,,,,
small_simple,SIRS,0.2,0.8,0,0.6,0.006029596,7.695116778,0.003147054,0.003413817,0.893212425,nan,0.936097948,0.850182291,,,,
small_simple,SIRS,0.2,0.8,0,0.7,0.006595074,7.695116778,0.003313346,0.003704891,0.851015622,nan,0.928417694,0.740494338,,,,
small_simple,SIRS,0.2,0.8,0,0.8,0.006635741,7.695116778,0.003166503,0.00373211,0.839343896,nan,0.935369694,0.727277701,,,,
small_simple,SIRS,0.2,0.8,0,0.9,0.007480957,7.695116778,0.00331065,0.004235765,0.763383843,nan,0.928170805,nan,,,,
small_simple,SIRS,0.2,0.8,0,1,0.006802538,7.695116778,0.002932426,0.003908207,0.803840003,nan,0.944905197,nan,,,,
small_simple,SIRS,0.2,0.9,0,0.1,0.00402414,7.695116778,0.003718274,0.004551494,0.990635235,nan,0.901507906,0.968482453,,,,
small_simple,SIRS,0.2,0.9,0,0.2,0.004870912,7.695116778,0.00326841,0.00438013,0.973809162,nan,0.925607854,0.93527553,,,,
small_simple,SIRS,0.2,0.9,0,0.3,0.005245562,7.695116778,0.003455301,0.003635582,0.961060231,nan,0.915818747,0.935845546,,,,
small_simple,SIRS,0.2,0.9,0,0.4,0.00582827,7.695116778,0.003437765,0.003696006,0.92955095,nan,0.916517006,0.907245073,,,,
